session_id,item_id,date
3,9655,2020-12-18 21:25:00.373
3,9655,2020-12-18 21:19:48.093
13,15654,2020-03-13 19:35:27.136
18,18316,2020-08-26 19:18:30.833
18,2507,2020-08-26 19:16:31.211
18,4026,2020-08-26 19:15:47.232
19,25772,2020-11-02 16:31:18.543
19,6341,2020-11-02 16:34:33.794
19,25555,2020-11-02 16:43:04.022
19,20033,2020-11-02 16:42:02.287
19,8281,2020-11-02 16:38:04.484
19,8268,2020-11-02 16:48:39.343
19,4385,2020-11-02 16:44:56.169
19,6704,2020-11-02 16:47:36.119
19,8316,2020-11-02 16:36:10.084
19,27638,2020-11-02 16:41:36.202
19,8813,2020-11-02 16:39:36.928
19,19896,2020-11-02 16:30:36.378
19,27937,2020-11-02 16:30:48.207
19,23687,2020-11-02 16:35:46.685
19,12804,2020-11-02 16:31:05.749
19,1755,2020-11-02 16:40:12.193
19,18936,2020-11-02 16:47:17.523
24,2927,2020-02-26 17:23:04.84
24,11662,2020-02-26 17:26:29.178
24,2927,2020-02-26 17:22:48.903
24,28075,2020-02-26 18:22:34.101
24,434,2020-02-26 17:27:11.894
24,16064,2020-02-26 17:26:05.585
24,10414,2020-02-26 18:21:51.891
24,18539,2020-02-26 18:18:48.152
24,18476,2020-02-26 18:24:32.77
28,11529,2020-05-18 12:51:10.994
28,11529,2020-05-18 12:51:32.916
28,16895,2020-05-18 12:50:24.248
28,21902,2020-05-18 12:51:51.761
31,25972,2021-04-20 19:38:03.816
31,16289,2021-04-20 19:39:17.092
31,2069,2021-04-20 19:40:21.952
31,27579,2021-04-20 19:43:43.813
31,26457,2021-04-20 19:41:29.179
31,2069,2021-04-20 19:39:29.968
31,4230,2021-04-20 19:45:23.203
31,264,2021-04-20 19:42:13.19
36,26536,2020-06-21 10:29:51.337
36,25417,2020-06-21 10:29:08.263
42,10395,2021-03-01 15:15:53.207
42,20523,2021-03-01 15:14:01.173
42,17472,2021-03-01 15:16:01.521
42,22492,2021-03-01 15:15:33.477
